RegionID,SizeRank,ZipCode,State,City,Metro,CountyName,Price
62403,16047,12117,NY,Mayfield,"Gloversville, NY",Fulton County,218528.6319
97716,16047,94508,CA,Angwin,"Napa, CA",Napa County,684296.5694
69544,16054,27846,NC,Jamesville,,Martin County,89616.63831
99077,16054,97107,OR,Bay City,,Tillamook County,322978.8389
77997,16056,46157,IN,Monrovia,"Indianapolis-Carmel-Anderson, IN",Morgan County,239999.4389
77815,16057,45786,OH,Stockport,"Marietta, OH",Washington County,174313.6328
96601,16060,92036,CA,Julian,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,526407.7419
59411,16061,4254,ME,Livermore Falls,"Lewiston-Auburn, ME",Androscoggin County,194479.11
75640,16061,40347,KY,Midway,"Lexington-Fayette, KY",Woodford County,215052.616
80878,16065,52208,IA,Belle Plaine,"Cedar Rapids, IA",Benton County,96107.37481
69291,16065,27311,NC,Pelham,,Caswell County,128705.6434
80897,16068,52228,IA,,"Cedar Rapids, IA",Linn County,230586.5362
78524,16071,47305,IN,Muncie,"Muncie, IN",Delaware County,52305.25137
59010,16074,3046,NH,Dunbarton,"Concord, NH",Merrimack County,399563.9437
93978,16075,82721,WY,,"Gillette, WY",Crook County,312779.1524
58402,16082,1522,MA,Holden,"Worcester, MA-CT",Worcester County,364691.0046
62834,16082,12919,NY,Champlain,"Plattsburgh, NY",Clinton County,156466.4178
86628,16084,64856,MO,Pineville,,McDonald County,170846.8044
87557,16085,67356,KS,,"Parsons, KS",Labette County,66719.11036
63365,16089,14025,NY,Boston,"Buffalo-Cheektowaga, NY",Erie County,236623.1898
98566,16093,96032,CA,Fort Jones,,Siskiyou County,241940.6239
69993,16093,28512,NC,,"Morehead City, NC",Carteret County,465965.3032
95622,16093,88337,NM,La Luz,"Alamogordo, NM",Otero County,220027.5222
80958,16097,52342,IA,Toledo,,Tama County,143218.8883
68210,16097,24556,VA,Goode,"Lynchburg, VA",Bedford County,286548.9889
60790,16101,7750,NJ,Monmouth Beach,"New York-Newark-Jersey City, NY-NJ-PA",Monmouth County,778622.0774
86827,16101,65486,MO,Iberia,,Miller County,125408.7081
60953,16104,8063,NJ,National Park,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Gloucester County,223727.5594
63407,16106,14081,NY,Irving,"Buffalo-Cheektowaga, NY",Erie County,208791.5201
78632,16108,47471,IN,Worthington,,Greene County,120793.2945
94368,16108,83873,ID,Silverton,,Shoshone County,247640.1339
99045,16111,97041,OR,Mount Hood Parkdale,"Hood River, OR",Hood River County,571295.1015
60011,16114,5764,VT,Poultney,"Rutland, VT",Rutland County,238825.806
63722,16116,14772,NY,Randolph,"Olean, NY",Cattaraugus County,130826.6101
65611,16119,18837,PA,Ulster,"Sayre, PA",Bradford County,207389.8178
63316,16119,13825,NY,Otego,"Oneonta, NY",Otsego County,178521.4576
72915,16119,33922,FL,Bokeelia,"Cape Coral-Fort Myers, FL",Lee County,355256.5823
89946,16124,73121,OK,Forest Park,"Oklahoma City, OK",Oklahoma County,107016.1308
72180,16124,32735,FL,Grand Island,"Orlando-Kissimmee-Sanford, FL",Lake County,244154.0697
87752,16126,67835,KS,Cimarron,,Gray County,153585.7078
75916,16126,41092,KY,Verona,"Cincinnati, OH-KY-IN",Boone County,204647.3677
73259,16130,35006,AL,,"Birmingham-Hoover, AL",Jefferson County,76670.0429
62790,16134,12846,NY,Lake Luzerne,"Glens Falls, NY",Warren County,259966.9907
82211,16136,55360,MN,Mayer,"Minneapolis-St. Paul-Bloomington, MN-WI",Carver County,318316.1078
87350,16136,66861,KS,Marion,,Marion County,101478.2223
79013,16138,48145,MI,La Salle,"Monroe, MI",Monroe County,183012.4744
67326,16140,22610,VA,Bentonville,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Warren County,315793.6738
59297,16143,4008,ME,Bowdoinham,"Portland-South Portland, ME",Sagadahoc County,337900.5285
79863,16147,49676,MI,Rapid City,"Traverse City, MI",Kalkaska County,296078.943
68769,16147,25827,WV,Midway,"Beckley, WV",Raleigh County,99235.08427
77276,16147,44666,OH,North Lawrence,"Canton-Massillon, OH",Stark County,176205.2751
78496,16147,47232,IN,Elizabethtown,"Columbus, IN",Bartholomew County,196942.995
70494,16154,29458,SC,Mc Clellanville,"Charleston-North Charleston, SC",Charleston County,277828.5674
77453,16156,45120,OH,Felicity,"Cincinnati, OH-KY-IN",Brown County,140969.6794
88225,16157,68862,NE,Ord,,Valley County,100969.8515
63416,16158,14098,NY,Lyndonville,"Rochester, NY",Orleans County,193980.9372
76719,16162,43521,OH,Fayette,"Toledo, OH",Fulton County,115939.3079
88987,16162,71260,LA,Marion,"Monroe, LA",Union Parish,55471.18747
77945,16164,46065,IN,Rossville,"Frankfort, IN",Clinton County,203250.6248
76190,16164,42031,KY,Clinton,,Hickman County,80464.87684
62976,16167,13131,NY,Parish,"Syracuse, NY",Oswego County,164116.862
69910,16169,28385,NC,Salemburg,,Sampson County,107605.5044
77494,16172,45203,OH,Cincinnati,"Cincinnati, OH-KY-IN",Hamilton County,347058.4593
66961,16172,21663,MD,Saint Michaels,"Easton, MD",Talbot County,401700.5879
